,key,number,name,Event_1_Week,Event_1_Key,Event_1_fused,Event_2_Week,Event_2_Key,Event_2_fused,EPA,Win_Rate,EPA_Rank,EPA_Percentile
0,frc1,1,The Juggernauts,0.0,miket,0miket,3.0,misal,3misal,22.68,0.5426,130,0.7456
1,frc10181,10181,Forest Area Warriors,0.0,milac,0milac,2.0,mimus,2mimus,0.0,0.0,0,0.0
2,frc1023,1023,Bedford Express,2.0,mibkn,2mibkn,0.0,mimil,0mimil,33.75,0.5985,36,0.9295
3,frc1025,1025,Impi Warriors,2.0,mibkn,2mibkn,0.0,mifer,0mifer,31.34,0.614,57,0.8885
4,frc10285,10285,Sacred Heart Blue and Gold,0.0,mifer,0mifer,3.0,mitry,3mitry,0.0,0.0,0,0.0
5,frc10349,10349,Pontiac Firebirds,1.0,mike2,1mike2,3.0,mimas,3mimas,0.0,0.0,0,0.0
6,frc10421,10421,Baldwin Panthers,4.0,mibig,4mibig,0.0,milac,0milac,0.0,0.0,0,0.0
7,frc10473,10473,Team Lance-B-Bot,2.0,miber,2miber,1.0,misjo,1misjo,0.0,0.0,0,0.0
8,frc10505,10505,NASA Technomos,1.0,miesc,1miesc,3.0,milsu,3milsu,0.0,0.0,0,0.0
9,frc10547,10547,United Phoenix,4.0,mimid,4mimid,1.0,mimtp,1mimtp,0.0,0.0,0,0.0
10,frc10560,10560,Grand Ledge Comets,1.0,mike2,1mike2,3.0,mimas,3mimas,0.0,0.0,0,0.0
11,frc10577,10577,Tars (Truly astonishing robotic student),4.0,midet,4midet,0.0,mifer,0mifer,0.0,0.0,0,0.0
12,frc10587,10587,Windover Wing Nuts,4.0,mimid,4mimid,1.0,mimtp,1mimtp,0.0,0.0,0,0.0
13,frc10589,10589,Binary Crows,4.0,mibig,4mibig,1.0,miesc,1miesc,0.0,0.0,0,0.0
14,frc10590,10590,Compass Team,2.0,midtr,2midtr,4.0,miliv,4miliv,0.0,0.0,0,0.0
15,frc10595,10595,Big Bay de Noc Black Bears,4.0,mibig,4mibig,1.0,miesc,1miesc,0.0,0.0,0,0.0
16,frc10605,10605,Engadine Eagles,3.0,milsu,3milsu,,,,0.0,0.0,0,0.0
17,frc10606,10606,Foley Flare,4.0,mimcc,4mimcc,2.0,mimus,2mimus,0.0,0.0,0,0.0
18,frc10607,10607,DAAS Jaguars,3.0,mibro,3mibro,2.0,midtr,2midtr,0.0,0.0,0,0.0
19,frc10612,10612,Cougear,3.0,mitry,3mitry,,,,0.0,0.0,0,0.0
20,frc10613,10613,AEA Alterbots,0.0,mimil,0mimil,2.0,mimus,2mimus,0.0,0.0,0,0.0
21,frc10614,10614,AEA Robolution,0.0,mimil,0mimil,2.0,mimus,2mimus,0.0,0.0,0,0.0
22,frc10622,10622,Gwinn Robotowners,4.0,mibig,4mibig,1.0,miesc,1miesc,0.0,0.0,0,0.0
23,frc10629,10629,Bath High School Fighting Bees Robotics Team,2.0,mibkn,2mibkn,3.0,mimas,3mimas,0.0,0.0,0,0.0
24,frc10630,10630,Michigan Collegiate Cougars,,,,,,,0.0,0.0,0,0.0
25,frc10633,10633,BeeBotics,2.0,miber,2miber,4.0,miken,4miken,0.0,0.0,0,0.0
26,frc10642,10642,Comstock Colts,0.0,mibat,0mibat,4.0,miken,4miken,0.0,0.0,0,0.0
27,frc10651,10651,Gear Cats,0.0,mibat,0mibat,4.0,miken,4miken,0.0,0.0,0,0.0
28,frc10652,10652,Lutheran Northwest Crusaders,4.0,mimcc,4mimcc,3.0,mitry,3mitry,0.0,0.0,0,0.0
29,frc10654,10654,Shelby Tigers,4.0,miken,4miken,2.0,mimus,2mimus,0.0,0.0,0,0.0
30,frc10656,10656,RataToaster (Valkyries),4.0,miliv,4miliv,3.0,misal,3misal,0.0,0.0,0,0.0
31,frc10657,10657,North Central Academy,,,,,,,0.0,0.0,0,0.0
32,frc10659,10659,Jaguar Byte,0.0,miket,0miket,4.0,miliv,4miliv,0.0,0.0,0,0.0
33,frc10664,10664,Big Reds,4.0,miken,4miken,2.0,mimus,2mimus,0.0,0.0,0,0.0
34,frc10665,10665,U-Robotics,4.0,mimcc,4mimcc,,,,0.0,0.0,0,0.0
35,frc10666,10666,Green MachineZ,2.0,miber,2miber,1.0,misjo,1misjo,0.0,0.0,0,0.0
36,frc10667,10667,Genesee Wolves,0.0,miket,0miket,4.0,mimid,4mimid,0.0,0.0,0,0.0
37,frc10668,10668,WAY Flint,0.0,miket,0miket,4.0,mimcc,4mimcc,0.0,0.0,0,0.0
38,frc10672,10672,Trojans,2.0,miber,2miber,4.0,miliv,4miliv,0.0,0.0,0,0.0
39,frc10680,10680,Homer Trojans,0.0,mibat,0mibat,,,,0.0,0.0,0,0.0
40,frc107,107,Team R.O.B.O.T.I.C.S.,4.0,mibig,4mibig,3.0,miwmi,3miwmi,23.47,0.5222,125,0.7554
41,frc1076,1076,Pi Hi Samurai,3.0,misal,3misal,1.0,misjo,1misjo,32.53,0.6186,49,0.9041
42,frc1188,1188,Ravens,0.0,mifer,0mifer,3.0,misal,3misal,18.73,0.5517,179,0.6497
43,frc1189,1189,Gearheads,3.0,mibro,3mibro,4.0,mimcc,4mimcc,37.08,0.6017,19,0.9628
44,frc123,123,Team - Cosmos,3.0,mibro,3mibro,2.0,midtr,2midtr,21.64,0.5122,143,0.7202
45,frc1250,1250,Gator-Bots,3.0,mibro,3mibro,0.0,mifer,0mifer,28.29,0.5893,79,0.8454
46,frc1322,1322,GRAYT Leviathons (Genesee Robotics Area Youth Team),1.0,miesc,1miesc,3.0,mimas,3mimas,14.58,0.4688,254,0.5029
47,frc141,141,WOBOT,3.0,miwmi,3miwmi,,,,17.84,0.4681,202,0.6047
48,frc1481,1481,The Riveters,0.0,milac,0milac,3.0,mimas,3mimas,24.66,0.5556,102,0.8004
49,frc1498,1498,The Polar Pilots,0.0,miket,0miket,3.0,mitry,3mitry,0.0,0.0,0,0.0
50,frc1502,1502,Technical Difficulties,0.0,milac,0milac,3.0,misal,3misal,16.65,0.4205,219,0.5714
51,frc1504,1504,Desperate Penguins,3.0,mimas,3mimas,,,,15.88,0.3846,228,0.5538
52,frc1506,1506,Metal Muscle,1.0,mike2,1mike2,3.0,mitry,3mitry,34.98,0.6333,31,0.9393
53,frc1528,1528,MTR (Monroe Trojan Robotics),3.0,mibro,3mibro,,,,3.04,0.375,506,0.0098
54,frc1596,1596,The Instigators,3.0,milsu,3milsu,1.0,mimtp,1mimtp,20.68,0.5862,155,0.6967
55,frc1684,1684,The Chimeras,1.0,mike2,1mike2,3.0,mimas,3mimas,25.03,0.5556,95,0.8141
56,frc1701,1701,RoboCubs,4.0,midet,4midet,0.0,mifer,0mifer,41.44,0.6284,12,0.9765
57,frc1711,1711,RAPTORS,1.0,mimtp,1mimtp,2.0,mitvc,2mitvc,24.56,0.6078,104,0.7965
58,frc1718,1718,The Fighting Pi,0.0,milac,0milac,4.0,mimcc,4mimcc,34.37,0.5417,34,0.9335
59,frc1918,1918,NC GEARS,4.0,mibig,4mibig,2.0,mimus,2mimus,21.69,0.5172,142,0.7221
60,frc1940,1940,Tech Tigers 1940,2.0,miber,2miber,4.0,mibig,4mibig,6.87,0.4,440,0.1389
61,frc201,201,The FEDS,1.0,mimtp,1mimtp,3.0,mitry,3mitry,20.61,0.3966,157,0.6928
62,frc2048,2048,The Pink Panthers,4.0,midet,4midet,2.0,midtr,2midtr,7.73,0.2292,421,0.1761
63,frc2054,2054,Tech Vikes,1.0,misjo,1misjo,3.0,miwmi,3miwmi,42.88,0.8551,10,0.9804
64,frc2075,2075,Enigma Robotics,4.0,miken,4miken,2.0,mimus,2mimus,46.82,0.7344,1,0.998
65,frc2137,2137,The Oxford RoboCats,0.0,miket,0miket,3.0,misal,3misal,27.58,0.575,82,0.8395
66,frc2145,2145,HAZMATS,0.0,miket,0miket,3.0,mitry,3mitry,37.17,0.5,18,0.9648
67,frc216,216,More RoboDawgs,2.0,miber,2miber,4.0,miken,4miken,31.76,0.5726,53,0.8963
68,frc217,217,ThunderChickens,2.0,miber,2miber,4.0,mimcc,4mimcc,12.85,0.4667,289,0.4344
69,frc2224,2224,RoboPhoenix,4.0,midet,4midet,,,,14.22,0.5,261,0.4892
70,frc2246,2246,The Army of Sum,0.0,milac,0milac,2.0,mitvc,2mitvc,7.4,0.25,430,0.1585
71,frc226,226,Hammerheads,0.0,milac,0milac,3.0,mitry,3mitry,27.03,0.6094,87,0.8297
72,frc2337,2337,EngiNERDs,1.0,mike2,1mike2,,,,29.21,0.6148,71,0.8611
73,frc240,240,TEMPEST,2.0,mibel,2mibel,3.0,mibro,3mibro,10.58,0.4231,341,0.3327
74,frc2405,2405,Techno Trojans,1.0,mimtp,1mimtp,2.0,mimus,2mimus,20.36,0.4643,159,0.6888
75,frc244,244,RoboDawgs 3D,2.0,miber,2miber,4.0,miken,4miken,25.42,0.4221,93,0.818
76,frc245,245,Adambots,3.0,mibro,3mibro,0.0,miket,0miket,32.7,0.625,45,0.9119
77,frc247,247,Team 247 Da Bears,2.0,mibel,2mibel,0.0,mifer,0mifer,21.7,0.5333,141,0.7241
78,frc2586,2586,Copper Bots,1.0,miesc,1miesc,3.0,milsu,3milsu,24.49,0.6,106,0.7926
79,frc2591,2591,RedTails,2.0,midtr,2midtr,,,,9.54,0.4423,371,0.274
80,frc2604,2604,Metal and Soul,3.0,mitry,3mitry,,,,9.29,0.4583,379,0.2583
81,frc2611,2611,Jacktown Vectors,2.0,mibkn,2mibkn,,,,35.56,0.5789,28,0.9452
82,frc2619,2619,The Charge,4.0,mimid,4mimid,1.0,mimtp,1mimtp,13.78,0.3846,272,0.4677
83,frc2620,2620,Titans,3.0,mibro,3mibro,1.0,misjo,1misjo,23.39,0.5778,126,0.7534
84,frc2673,2673,Tenacious Technicians,4.0,midet,4midet,2.0,midtr,2midtr,13.47,0.5313,278,0.456
85,frc27,27,Team RUSH,,cmptx,Nonecmptx,0.0,miket,0miket,44.33,0.8452,6,0.9883
86,frc2767,2767,Stryke Force,1.0,misjo,1misjo,3.0,miwmi,3miwmi,45.44,0.75,2,0.9961
